narrative,product_5
Account on my credit report,Credit Reporting
"In XX/XX/XXXX I called Affirm to notify them of an unauthorized transaction to Booking.com. I had received an email of the loan purchase and I told them I did not make that transaction nor did I authorize it. They opened case # XXXX. On XX/XX/XXXX I received an email from Affirm stating that they completed their investigation and a resolution was found in my favor. It stated I will not be held responsible for the loans made in my name and the loans will not be reported to XXXX. They locked my account and I was told I would be able to later reopen the account once I secured the account and was able to provide my identity. Last year in XXXX I called Affirm to see if I would be able to re-secure my account. On XX/XX/XXXX they send me an email with a link to provide my documents for identity verification. I sent in a copy of my Driver 's License and did the biometrics as requested on their link. On XX/XX/XXXX I received an email from Affirm that stated I was able to recover my account and it is ready for use again. The email specifically states, "" This means you can do everything in your account that you did before and you won't see any evidence of the unauthorized activity that occurred. Again, please know that you will not be held responsible for any activity determined to be unauthorized. '' Last week I tried to use affirm, but I was denied because they show that the unauthorized transactions are still showing on my account and they reported them to the credit bureau as charged off in XX/XX/XXXX. I provided all the emails to them that they stated I would not be responsible for those transactions, but they again locked my account and want me to re-secure the account by again sending in my Driver 's License and doing the biometrics. I do not feel comfortable providing that type of information again since I did receive the email from them on XX/XX/XXXX that they received my information and my account was secure. I feel that there is some type of fraudulent things within the company and would like to know where all my information that I provided them in XX/XX/XXXX to prove my identity.",Loans
"I am currrently working on my Credit to purchase a home, I went on to all XXXX credit websites and notice some accounts that were on my report that weren't me. I went on to dispute them and requesting that they send me a copy of the contract along with my signature all but XXXX of them were not removed. Which is portfolio recovery llc since then they have called and they have came to to my home and served my XXXX XXXX XXXX son with court papers. The papers state I'm being threaten to have my wages garnished along with putting liens on property. They also do not have any papers signed by me, They sent me statements from them to an account that was reported compromised long ago and closed. Also I have reported my Identity stolen twice already these harrasments should have stopped ... XXXX have called all numbers that are public domain and harrased a XXXX XXXX I no longer have. What can I do to end this harrasment.",Debt Collection
I looked at my credit report and saw that this loan along XXXX the address XXXX XXXX XXXX XXXX was on file as my address. Ive never lived in NJ. Ive lost countless passports IDs and social security cards over the year. This is fraud and XXXX paying for this.,Debt Collection
"Subject : Immediate Removal of Bankruptcy Entry from Credit Reports I am writing to demand the immediate removal of the bankruptcy entry on my credit reports. I have never authorized this reporting, and I am officially opting out of any such reporting, both now and in the future. 
This request is supported by the Privacy Act of 1974, 15 USC 1681a, and regulations under 12 CFR 1016.1, 1016.13, 1016.14, and 1016.15, which require explicit consumer consent for the disclosure of such information. In addition, 12 CFR 1016.4 emphasizes the necessity for consumer consent prior to any reporting, which I have not provided. 
I also wish to point out that I have received confirmation via email from the Colorado Bankruptcy Court stating explicitly that they do not provide information to credit reporting agencies. This is further evidence that the reporting of my bankruptcy is both unauthorized and in violation of my privacy rights as outlined in the aforementioned statutes. 
Given these facts, I insist on the immediate removal of the bankruptcy reporting from all my credit reports and confirmation that I have been opted out of any future reporting of this nature. 
Thank you for your immediate attention to this matter. I expect to receive confirmation of the removal of the bankruptcy entry within 30 days of this letter.",Credit Reporting
"I opened a Torrid credit card which is supplied by Comenity bank in a Torrid store in early XXXX. I used it in store and paid the balance same day in store for {$160.00}. On XX/XX/XXXX, I decided to log in to my Torrid account to make sure that the balance was {$0.00}. I could not log in to my account. I called the Torrid helpline back and forth on XX/XX/XXXX and XX/XX/XXXX to try to get access to my account. It was during these calls that I learned that my payment of {$160.00} never went through. At this point, I just wanted to pay the amount. But I couldn't. Because I could not log in to my account. Customers can pay over the phone, but it costs an extra {$9.00}. I explained to the customer service rep that I can't pay online because I can't log in and she agreed to waive the {$9.00}. So on XX/XX/XXXX, I was able to pay my balance of {$160.00} over the phone. The whole experience had been so frustrating, that I also asked them to close the account that day. I received a confirmation email on XX/XX/XXXX that the payment of {$160.00} had been processed. I never thought about it again. 

Then, on XX/XX/XXXX, I got a text message that I had a payment past due. I called the helpline on XX/XX/XXXX and the balance I owed was {$160.00}. This is now the third time I've tried to pay the balance. I paid the balance that day, XX/XX/XXXX, and made sure the account was closed. I never thought about it again. 

Then, on XX/XX/XXXX, I got a text message to call Comenity bank. I call the helpline on XX/XX/XXXX and they tell me I have late fees on my account totaling {$63.00}. They explain that my account was past due as of XX/XX/XXXX, that the balance of {$160.00} was due by XX/XX/XXXX. They tell me that as of XX/XX/XXXX, a late fee of {$30.00} was applied. An additional {$3.00} of interest was added and then on XX/XX/XXXX, another {$30.00} late fee was applied. I explained that I tried to pay my balance multiple times and that I was never informed of a late fee on XX/XX/XXXX. They transfer me to a supervisor. The supervisor said that they would pull the phone call from XX/XX/XXXX in order to waive the late fees. The supervisor said someone would call me back by XX/XX/XXXX, but that if I did not hear back, I could call back. 

On XX/XX/XXXX, I receive a phone call from Comenity bank. I answer. It is an automated message that says to call x number. That was the whole message. It was one sentence. It said the number one time. And then it hung up. I did not get a chance to write the number down, nor would anyone else, as it was not humanly possible to do so in such a quick message. So, I called the helpline the same day, on XX/XX/XXXX, to ask about it. The very first customer service rep I spoke to knows nothing about the call. I hang up and try again. The second customer service rep I spoke to, before I say anything, offers to wave {$15.00} off my late charges if I pay them now. I say I was just returning a call. The rep doesn't know anything about it so I hang up. I figure I will get another call or I can just call back on XX/XX/XXXX as was previously discussed. 

By XX/XX/XXXX, I have not received any more messages from Comenity Bank so I call the helpline on XX/XX/XXXX. I explain my situation to the service rep and they said that my account is not eligible to have any late fees waived, that my balance is still {$63.00}. She said my account was not eligible because it was closed and that my account would be eligible again in 18 months. ( A closed account can have fees waived after 18 months? How does that work? After I've accrued 18 months worth of late fees and my credit is destroyed?? Then what? They'll waive one?? ) She also said that I already had a late fee waived on my account. I asked her which one. I only ever had XXXX and they are both still there. She put me on hold for a while and then said that she couldn't see the date that it was waived. I asked her, but you can see that it was waived? She danced around the question until finally she said that she didn't actually know whether a fee had ever been waived. She then transferred me to a supervisor. 

The supervisor I spoke to basically said the same thing. She said the late fees could not be waived because my account was not eligible because it was closed. I told her about the phone call I made on XX/XX/XXXX where a supervisor and I spoke at length about my troubles. The supervisor I spoke to on XX/XX/XXXX knew that my account was closed and she still offered to waive the fees after reviewing the phone call from XX/XX/XXXX. I also told her that I called a customer service rep on XX/XX/XXXX who offered to waive {$15.00}. I asked her how my account is not eligible if XXXX separate people were offering waiving fees. She wouldn't answer the question. I asked her why, when I paid my balance of {$160.00} on XX/XX/XXXX, was I not informed of a {$30.00} late fee. She said even though the late charge was incurred on XX/XX/XXXX, it doesn't actually apply to the account until XX/XX/XXXX. She said even if I was told on XX/XX/XXXX that I was being charged a late fee, I would not be able to pay it on XX/XX/XXXX. ( Make it make sense. ) She said again that my account was not eligible to have any late fees waived. I ended the call. 

I am so worried about having more late fees added and having my credit affected by this. I just want it done. I called again on XX/XX/XXXX and paid the {$63.00} of late fees. The automated system asked for my bank account and routing number. I gave it and then it immediately went back to the main menu options. How do I know if the payment was made? Even if the automated system said something about accepting the payment, it's not like that would be any more reassuring. I've made payments before, received confirmation, and then they have not gone through. I called my bank, XXXX XXXX, on XX/XX/XXXX, to tell them I was making a payment to Comenity bank and not to flag it or whatever. They said they didn't see any pending payments yet, but that there was nothing wrong with my account so there's no reason it wouldn't go through. 

In summary, I have made several good faith attempts to pay my balance with Torrid/Comenity Bank XXXX There is nothing wrong with my debit card, checking account, or bank. Comenity Bank makes it intentionally difficult to pay balances so they can add predatory late fees. They are a scam.",Credit Card Services
"On XX/XX/year> I received a final account statement from Tradition at XXXX XXXX in the amount of {$86.00} and immediately paid the final amount due. I then received notification from a XXXX XXXX XXXX XXXX that I owed {$1200.00} for damages. I have requested invoices for the work completed after my move out and have not received any proof of these amounts that I am being charged. When I vacated this apartment it was fully renovated. These renovations included removal of a wall in the kitchen, a full XXXX change, all new flooring, new kitchen and bath countertops, all new appliances, all new cabinets in the kitchen and bathrooms. During my residency at this location, I was also the community XXXX. All units are being renovated as tenants move out. My unit 's renovations began immediately after I moved out so the work that was completed was completed by XXXX XXXX which was the renovations team. These renovations did not occur because of damages. 

I have proof of my final account statement and my receipt of payment. I am very confused how I received another final statement after paying my balance in full and why I still have not received any invoices that they are now charging me for. My account has been transferred to XXXX XXXX XXXX and they also have not provided me with any information that I have requested.",Debt Collection
"i sent the ma letter on XXXX, requesting validation of debt, per 15 usc 1692g and 12 cfr 1006.34c for this alleged debt that i don't owe and i haven't heard from them concerning this matter.I am asking that this information be deleted from my credit report",Debt Collection
"Back in XXXX I was let go from and thus unemployed for the first time in my life and made sure to contact Navient to update that I could not pay my school loan. I was told by a Navient loan agent XXXX XXXX ( if thats even her true name ) that I could apply to the XXXX XXXX Loan forgiveness. I did exactly what I was told. I was then informed that I was approved and had to apply for Loan Forgiveness & Consolidation Application ( I have the paperwork for this ). I was informed that if I made a first payments of {$380.00} XX/XX/XXXX and make {$59.00} payments for XXXX months through that my loan would completely be forgiven. XXXX XXXX gave me her direct line and the number to get in contact with any concerns and questions. I was also informed that the payments would not show up in Navient until my last payment. My last payment was supposed to be XX/XX/XXXX. Since XX/XX/XXXX to XX/XX/XXXX, I have been making automatic payments from my bank of {$59.00}. I received monthly emails and text when I made payment and reminders from XXXX I can print and scan those documents if needed. Back in XXXX I received email form Navient that I was to be transferred to XXXX, I had made multiple calls to them and was never able to reach anyone. I wanted to ensure that my forgiveness loan was ok. I had reached out to XXXX XXXX whom I thought was from Navient through her direct line and was informed that my forgiveness loan was safe. To continue to make the payment until XX/XX/XXXX. I called this week on Tuesday and there was a weird voicemail and the other numbers from the emails that I had reached out and it sounded like a marketing voicemail. Which had me worried. I reached out to XXXX and Navient, XXXX and finally was able to speak to agent someone and was informed that is sounded that the payments made was a XXXX party and that they do not utilize XXXX parties and that I was most likely scammed. I was informed by Navient that there has been a significant amount of scams using their logo and even creating websites looking like their websites XXXX XXXX. I was advised to report this to Consumer Financial Protection Bureau and to reach out to Federal Student Aid and report this matter. I have communicated to my bank to stop any further automatic payment and hopefully get compensated. I am currently working on printing and scanning documents to be able to send to Federal Student Aid and to CFPB if you need more information ie., bank statements, emails, etc I can send to you.",Loans
"I am filing this complaint against TD bank due to their failure to provide the required initial privacy notice as mandated by 15 U.S. Code 6803. This violation has resulted in the improper sharing of my nonpublic personal information with consumer reporting agencies without my informed notice. 

Detailed Summary : 1. Lack of Initial Privacy Notice : According to 15 U.S. Code 6803, Td bank is required to provide a clear and conspicuous privacy notice at the inception of our customer relationship. I do not recall receiving such a notice at the start of my relationship with [ Company Name ]. 

2. Violation of Federal Privacy Laws : The absence of this required initial privacy notice constitutes a violation of federal privacy laws. This failure to comply with legal requirements has compromised the transparency and understanding of how my personal information is handled. 

3. Improper Information Sharing : Due to the lack of the required privacy notice, I was not informed about TD bank 's policies and practices regarding the sharing of my nonpublic personal information with consumer reporting agencies and other third parties as allowed under section 6802 ( e ). As a result, TD bank has shared my personal information without providing me with adequate notice.",Credit Card Services
"On XXXX XXXX. XXXX Complete XXXX told us my vehicle needed a XXXX XXXX on the XXXX to fix the problem I was having with my vehicle. We paid for a complete diagnostic. They did not mention anything about XXXXXXXX XXXX at that time. We decided to allow them to complete the work on the XXXX XXXX because of what they stated their results of the diagnostic report. On XX/XX/year>, XXXX Complete XXXX contacted us to say my vehicle was ready for pick up. After I paid {$2300.00}, They gave me the key and I drove my vehicle off the lot. When I reached the Stop sign the vehicle started to XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX. I called my XXXX ( XXXX XXXX ) from the vehicle and explained what I was experiencing. I drove my vehicle home to my husband ( XXXX XXXX ). I was Completely and utterly Furious. We then took my vehicle back to XXXX Complete XXXX. I stayed outside and my husband ( XXXX ) went inside to speak to them. Two weeks later, they called to say the vehicle had been fixed correctly this time. They also stated that the work they have done carried a years warranty on parts. On the bottom of the invoice, I paid the XXXX XXXX states they have a Warranty on parts and labor for 12 months or 12,000 miles whichever comes first. 

On XXXX XXXX I set out to drive to see my grandchildren. My vehicle ended up stopping at XXXX XXXX XXXX at XXXX. I had to contact insurance and it was a nightmare. I was on the side of the road for at least an hour before the tow truck came. I had to end up being taken to the XXXX XXXX XXXX for the night because there was no other place to take my vehicle. The next morning after going through 3 additional tow truck drivers, my vehicle ended up at XXXX XXXX XXXX XXXX in XXXX XXXXXXXX XXXX After speaking with XXXX at XXXX XXXX XXXX XXXX, He stated that there was NO WAY possible XXXX Complete XXXXXXXX did not know my vehicle did not need a brand-new XXXX. XXXX XXXX XXXX just put a bandage on an already XXXX XXXX  in hopes it would work.",Credit Card Services
"PROBLEM : UNNECESSARY NUMEROUS REQUIREMENTS FOR PROOF OF OWNERSHIP TO CHANGE MY ACCOUNTS TO MY TRUST. THE FOLLOWING SECURE MESSAGES WERE SENT ABOUT THIS AND CAN BE PROVIDED IF NECESSARY : TO XXXX XX/XX/year>, TO XXXX XX/XX/year>, TO XXXX XX/XX/year> AND XX/XX/year>, TO XXXX XX/XX/year>, AND THE BELOW WHICH I AM SENDING TODAY XX/XX/year> TO ALL OF THEM. PLEASE FIND ATTACHED TO THIS SECURE MESSAGE THE REQUIRED FLAGSTAR USELESS CLIENT CHANGE REQUEST FORM WHICH CONTAINS LESS INFO THEN I HAVE ALREADY PROVIDED PROOF OF OWNERSHIP TO FLAGSTAR. I HAD TO DRIVE XXXX MINUTES ONE WAY TO XXXX, XXXX  TO HAVE IT NOTARIZED AT XXXX  XXXX XXXX, VERY INCONVENIENT. I HAVE NOW SENT FLAGSTAR 6 PAGES OF REQUIRED FORMS PROVING THE OWNERSHIP OF MY TRUST SINCE XX/XX/year>. I AM THROUGH JUMPING THROUGH ANYMORE HOOPS TO PROVIDE INFO ABOUT MY TRUST OTHER THEN PROOF OF OWNERSHIP, AND TO REQUIRE ME TO SEND THEM THE ENTIRE TRUST IS OUTRAGEOUS. SINCE I HAVE BEEN FORCED TO GO THROUGH ALL THIS HASSLE TO MAKE THIS CHANGE TO MY ACCOUNTS I HAVE DECIDED TO FILE ANOTHER COMPLAINT AGAINST FLAGSTAR BANK. FLAGSTAR BANK DOES NOT HAVE A CLUE HOW TO DEAL WITH THEIR CUSTOMERS. 

XXXX XXXX XXXX XXXX",Bank Accounts and Services
"NTL Recovery Agency is insisting aggressively and have damaged my credit score on purpose from a false representation of a fallacy that is far from the truth. This unknown predatory debt collector is trying to collect the wrong amount of debt. The bad debt that NTL is falsely trying to collect is {$1700.00}. I am requesting again from NTL Recovery Agency for an itemize bill. I am legally entitled to it. I have been overcharged due to my lack of ignorance. Now that I know, I could question and dispute any inaccuracies, false statements and/or representations. 

All charges could be lower by visiting this website : XXXX 
As a consumer, I have rights and will like to exercise them in a new and meaningful way. I can contact the original creditor billing department and dispute my charges and leaving the middle man out of it.",Debt Collection
"My vehicle was refinanced with Servicing Solutions and XXXX weeks before my payment was due, I received an email from them saying that my loan was transferred to a company named XXXX XXXX. I have never heard of that company. I google them and saw so many negative reviews. I don't want to do business with them. I have not signed anything agreeing to do business with them.",Loans
"I am the XXXX for my sister 's XXXX. I sold her property on XX/XX/XXXX. The mortgage company cashed my check on XX/XX/XXXX. My lawyer paid the amount provided by the mortgage company. After the fact, the company added fees. It did not and to this day, has not contacted my lawyer to alert them to this. I tried for XXXX months to get permission to discuss this loan. I sent paperwork XXXX times, including the will, XXXX XXXX, my fiduciary certificate and admittance to probate. Every tine I tried to talk to them they said I didn't qualify, and I sent the same paperwork again. Finally, on XX/XX/XXXX, an agent put me on the account. She said she used a lifeline like on who wants to be a millionaire. I did not provide any additional paperwork for her to do this, which means they had the proper paperwork the entire time and did not add me. It was not until this time, XXXX months after I sent the correct payoff, and they cashed it, that I was informed that IT was not enough. They told me I now owed over XXXX dollars in interest and fees, even though this was all their fault. I sent in XXXX on XX/XX/XXXX and the loan was finally paid off. It was paid off effective XX/XX/XXXX and I still have not received a payoff statement, a payoff letter, an escrow statement or a check for escrow overage. I have disputed the amount charged for extra interest and legal fees and have not heard back. Please find attached all of my paperwork supporting my claim. I have tried to call them numerous times in the last month, and they only have an automated system with no option of speaking to a live person. They cut me off. This is the worst company I have ever dealt with and what they are doing is illegal and unethical. Please help me obtain my refunds. Thank you very much.",Loans
"Upon reviewing my credit report, I have identified inaccurate accounts that need reporting and correction through your company.",Debt Collection
"Our issue is with Ally Bank. On XX/XX/year>, we ( my husband and I ) noticed a fraudulent charge ( screenshot Ally-Online-Services-Ally.png ) on my debit card for {$2500.00}. We immediately knew it wasn't something we purchased and we noticed it was from a XXXX business, supposedly in XXXX, VA, which is in XXXX XXXX. We called the XXXX XXXX Sheriff 's Office and discussed the issue with an officer, who said that the business does not exist and therefore they can not do anything about it. 

So, by fraudulent, we mean someone stole our credit card and charged it to a fake XXXX business. We bank with Ally, so we immediately locked our cards and attempted to dispute the charge. We were told by an Ally customer support representative, that we could not dispute the charge until it was posted. It's a lot of money, so we watched it like a hawk and disputed it immediately when it did post. We were told by Ally that it would take 10 business days to investigate the dispute. We didn't hear anything from them and ended up contacting them again on XX/XX/year>. They told us the dispute was ruled as non-fraudulent and that we wouldn't get our money back. We complained, but we were told by Ally that there was nothing they could do, because their fraud department ruled it as a legitimate charge. 

Considering it was a lot of money, I decided to do some detective work. I contacted XXXX, and they gave me some good information and leads. I discovered I could look up the transaction receipt for the XXXX business ( screenshot Square-Look-up-your-receipt.png ). When I looked it up, on XX/XX/year>, the business suddenly had a completely different name, didn't have a legitimate address, and was in XXXX, WI. The receipt also showed that the card was "" keyed '' in, so the chip was not used. This, to me, made it fairly obvious this was a fake business running stolen credit cards. 

With this new information on hand, I reached back out to Ally Bank on XX/XX/year>. When I provided this additional information, they told me they re-opened the transaction dispute. I've now contacted Ally Bank multiple times since they re-opened the dispute and every single time I contact them, I get told the fraud department needs 10 more business days to investigate. It just seems like I'm getting a runaround where I'm never getting my money back for a clearly fraudulent charge. Please help! We don't have a lot, so this money means a lot to us.",Bank Accounts and Services
"I was charged {$470.00} in interest rate from some "" promotion '' that took place in XXXX XXXX. However, in XXXX of XXXX, I paid {$1500.00} towards the purchase.",Credit Card Services
"XXXX. On XX/XX/year>, I scheduled a payment to Citi Double Cash credit card using the XXXX  checking account XXXX. On XX/XX/year>, I found fraud activity and reported it to XXXX, the checking account was frozen due to investigation. 
XXXX. On XX/XX/year>, I saw a {$30.00} charge on my Citi Double Cash credit card for a "" RETURN CHECK FEE '', I reached out to live chat customer service to explain what happened and the representative said I could get the charge waived the statement is out in early XXXX. 
XXXX. I called Citi customer service again in early XXXX, and the customer service suddenly said the charge could not be reversed. The same issue happened to my other credit card as well, none of them charged me such a fee, and I was able to switch the payment method much earlier than Citi Double Cash.",Credit Card Services
"My XXXX XXXX  was the name on the property insurance policy for the home that I am living in and pay the mortgage and escrow for. This past May USAA allowed my XXXX XXXX to cancel that policy, backdate the cancellation of that policy to XXXX of 2023, and issued him a refund of {$1500.00}. I had to secure a new home insurance policy and it put my escrow account into a deficit. USAA has now taken the amount that they refunded to my ex husband from my checking account. I had already spoken to USAA about the insurance policy cancellation and I got different answers. The last phone call I had made to them, one of their service representative was confused as to why they backdated the policy and stated they dont do that. They refunded the money to my ex husbands bank account when they did this which is completely separate from me. They told me that everything was settled and the balance was not actually due for the new insurance policy that I had gotten in an emergency to avoid a lapse in home insurance coverage and I canceled that policy when I bought a different policy from a different provider the week after this happened. I never authorized this payment and I was never informed of this debt.",Bank Accounts and Services
"I don't recall having a contractual relationship with this collection company. Please give proof that this account belongs on my credit report and that my rights have not been infringed upon ; otherwise, terminate this account immediately. In compliance to 15 U.S. Code 1692e ( 6 ) Debt collectors are legally obligated to adhere to 15 U.S. Code 1692e ( 6 ), which forbids them from providing false information or insinuating inaccuracies about the nature, amount, or legal standing of a debt. It is against the law to make deceptive statements or misrepresentations concerning the debt being pursued for collection.",Debt Collection
"Short Form Complaint : 1. Wells Fargo and XXXX have failed to provide and maintain minimally adequate customer service resources and technologies concerning consumer lending products they offer in the State of Washington.

2. Wells Fargo has abused its position as a financial institution in conjunction with its relationship with rent payment services offered by XXXX to misappropriate and improperly apply funds intended for rent payments to its own accounts receivable for its consumer credit accounts. 

XXXX. Wells Fargo has engaged in unethical and bad faith practices in handling complaints related to technical issues with consumer credit products it services and related softwarea mobile applicationoffered in partnership with XXXX. 

4. Wells Fargo has either deliberately or negligently failed to provide timely notice of adverse actions concerning the closure of a credit account. 
a. In the XXXX instance where a notice was sent, there is strong evidence to suggest that the reasons cited in Wells Fargos correspondence are pretextual, and the actual reason for account closure was due to bounced payments resulting from Wells Fargos own, documented, software errors in an open tech support case. 

5. Wells Fargo has engaged in unlawful and unfairly deceptive debt collection practices including but not limited to failing to disclose it was acting in a debt collection capacity and/or misrepresenting the nature of its so-called customer service and tech support case ( XXXX ). 

6. XXXX fails to display, and Wells Fargo permits this failure to continue, any indication of current consumer account status in its mobile application or provide any required notices once a consumer account has been terminated and transferred to collections. 

Facts and Circumstances : Prior to XX/XX/year>, an automatic minimum monthly payment of {$300.00} was initiated on my XXXX XXXX. The XXXX XXXX is a product offered by XXXX XXXX XXXX and serviced by Wells Fargo. XXXX is responsible for handling rent payments, their rewards program, and tech support for their mobile app/website. Wells Fargo manages everything related to the credit card, which is a Mastercard. XXXX offers a service that sends rent checks to landlords once a month free of charge. When these payments are submitted, the payment amount is charged against the credit line, like any other charge. The payment method is either an ACH or a mailed check from XXXX to the landlord on the cardholders behalf. 

On XX/XX/year>, I became aware of a payment processing error. Rather than drawing from my XXXX Checking account ending in XXXX ( XXXX ), XXXX attempted to draw the automatic minim monthly payment of {$300.00} from a XXXX Savings account ending in XXXX ( XXXX ). Wells Fargo retroactively charged me a late fee of {$25.00} as of XX/XX/year>. 
I then attempted to manually resubmit payment using my XXXX Checking account ending in XXXX. Despite my selection of this account, XXXX attempted to draw from XXXX again. Of the three payment accounts I had added in the XXXX mobile application, XXXX was set as the Default, and due to a technical error, all payments were processed through the Default account rather than the selected account. When I attempted to change the Default account, I was unable to do so. In the interim and to avoid further fees, I funded the XXXX account so my resubmitted payment of {$1100.00} would clear. This transaction processed successfully through XXXX on XX/XX/year>. 

Before XX/XX/year>, I initiated another payment of {$7000.00} through the XXXX mobile application ( XXXX XXXX ). Again, the XXXX mobile application attempted to draw from XXXX instead of XXXX. At this point, I manually removed XXXX and a third payment account ( XXXX ) from my linked payment accounts in the XXXX mobile application to force XXXX to be the Default. After this, I reattempted the First Payoff but was prevented from submitting it because the then-current balance outstanding on my XXXX XXXX credit account reflected my First Payoff, which was incorrectly drawn on XXXX and had not yet been reversed for XXXX XXXX mobile application and Wells Fargo policy both prohibit payments being made more than a credit accounts current outstanding balance without regard to any pending reversals or changes. This is when I began seeking customer service and tech support from XXXX. 

When I contacted XXXX, I was directed to a chatbot on their website and in the mobile application. For payment processing errors, I was directed to email XXXX XXXX at XXXX. I exchanged at least XXXX emails with XXXX representatives, who initially misunderstood my inquiry. The XXXX representatives incorrectly believed I was referencing an automatic rent payment of {$5200.00} submitted to my landlord scheduled through the XXXX mobile application that was processed on or about XX/XX/year> ( Rent Payment ). The Rent Payment was returned for NSF because the First Payoff had not been applied to my XXXX account due to the Discover/BECU payment and Default payment method errors. Once XXXX representatives understood the issue, I was directed to Wells Fargo for further assistance. 

My case was escalated to Wells Fargos Executive Office, case ID XXXX, with XXXX assigned XXXX the case. XXXX confirmed that credit card payment errors like my First Payoff were for Wells Fargo to resolve, expecting resolution within XXXX business days. XXXX advised that Wells Fargos payment processing systems would automatically reattempt both the First Payoff and the Rent Payment and that they could not disable these automatic reattempts. 

The First Payoff was declined by XXXX at least twice, first on or about XX/XX/year>, and then again on or about XX/XX/year>. ( XXXX Bank provided at least a dozen other payment failure notices by email and mobile application alert, but only these two transactions are reflected on my XXXX account ). An additional automatic minimum monthly payment of {$300.00} was also reattempted and declined by XXXX on or about XX/XX/year>. 

I do not have visibility into what rent checks or payments were mailed or paid by XXXX. I notified my landlord on XX/XX/year>, and requested a waiver of late fees while resolving payment processing errors. My landlord agreed. Between XX/XX/XXXX and XX/XX/XXXX, my landlord received the Rent Payment, cashed it, and had the payment reversed for NSF. The landlord was charged a {$25.00} NSF fee, later reversed. I received a confirmatory email from my landlord on XX/XX/year>. 

On XX/XX/year>, I initiated a new payoff of {$8700.00} through the XXXX mobile app, which was drawn from XXXX and applied to my XXXX credit account balance on XX/XX/year> ( Second Payoff ). I also reinitiated my Rent Payment on XX/XX/XXXX. XXXX called me on XX/XX/XXXX to confirm my issues were resolved. I confirmed they were, to the best of my knowledge. 

On XX/XX/year>, my XXXX XXXX began being declined by merchants, but an online transaction of {$24.00} was processed on XX/XX/XXXX. As of then, I had received no correspondence from XXXX or Wells Fargo of any kind and assumed these declines were due to automated fraud protection. Wells Fargo support informed me there were no fraud alerts on my account. My card continued to be declined. I figured, perhaps, that a new card had been mailed by Wells Fargo as part of the resolution for my case and thought nothing more of it. 

On XX/XX/XXXX, I received a notice from XXXX that my XXXX card had been deactivated from XXXX. On XX/XX/XXXX or XXXX, I called Wells Fargo for assistance, expecting to request information for when to expect my new card. XXXX was surprised to hear about the issues, believing the problem was resolved. She had no knowledge of what had happened with my account after XX/XX/XXXX. 

Upon investigation, XXXX confirmed an adverse action letter indicating my XXXX XXXX account had been closed, prepared and sent by postal mail on XX/XX/XXXX. Conflicting closure dates were either XX/XX/XXXX or XX/XX/XXXX, both after my Second Payoff was initiated and after XXXX confirmed the matter was resolved. 

XXXX opened a new case for the account closure problem, case ID # XXXX, assigned to XXXX XXXX XXXX XX/XX/year>, XXXX responded XXXX confirming my credit card was closed on XX/XX/year>, and could not be reopened. XX/XX/XXXX is also after my Second Payoff was initiated and after XXXX confirmed the matter was resolved. 

I called Wells Fargo again, requesting XXXX 's assistance and a new case was opened with ID # XXXX. The Wells Fargo representative I spoke with on XX/XX/year>, indicated both XXXX and XXXX were busy but had received notes to contact me. As of the filing of this complaint, I have not been contacted by XXXX, XXXX, or any other representative of either XXXX or Wells Fargo. 

For the above reasons, I was left with no choice but to seek assistance from the state and other regulatory bodies and file this complaint, along with others substantially similar.",Credit Card Services
My credit reports are inaccurate. These inaccuracies are causing creditors to deny me credit. You have the duty to report accurate information about consumers. Please investigate these accounts and inquires and update these accounts accordingly to avoid future litigation.,Credit Reporting
"XXXX XXXX XXXX XXXX used high pressure sales to encourage myself, a young student, to take out maximum loan amounts. The recruiter, before I was a student, had me print my mom 's name on the first school contract, tying us into a financial contract with them. They guaranteed job placement and that the school was accredited. Non of which are true. The school was fraudulent in many ways, not just with the high pressure sales and lack of accreditation. They have since been closed down. I was a student there from XXXX XXXX XXXX I have been paying on these private loans and still owe more than my original loan amounts. 

Originally the loans were through Sallie Mae, then Navient bought them, now XXXX owns them",Loans
